source_map_id,record_group,series_or_entry,stated_coverage,evidence_target,potential_evidence_level,digitization_status,priority,selection_or_accounting_risk,next_action,guide_url
AFB-NARA-0001,RG 217,"Office of the Register; Receipts and Expenditures Division: ledgers journals daybooks and abstracts of receipts and expenditures","ledgers 1776-1923; journals 1776-1799; daybooks 1789-1894; abstracts 1789-1889","central operating receipts expenditures and period reconciliation",E1-candidate,"not established; guide description only",P1-critical,"series may use evolving classifications and later fair-copy abstracts","obtain Inventory 14 series identifiers box list location and reproduction options; request samples for 1789-1803",https://www.archives.gov/research/guide-fed-records/groups/217.html
AFB-NARA-0002,RG 217,"Office of First Comptroller; Customs Division letters sent","1791-1849","customs settlement instructions remittance timing bonding and defaults",E1-candidate,"not established; guide description only",P1-high,"outgoing instructions do not prove collector compliance or cash receipt","identify volumes for 1791-1803 and crosswalk instructions to fiscal anomalies",https://www.archives.gov/research/guide-fed-records/groups/217.html
AFB-NARA-0003,RG 217,"Office of First Auditor; Public Debt Division audit reports","1789-1837","audited debt payments interest principal and adjustments",E1-candidate,"not established; guide description only",P1-high,"audit report scope and survival by year are unknown","obtain Inventory 14 entry and box citations for 1789-1803",https://www.archives.gov/research/guide-fed-records/groups/217.html
AFB-NARA-0004,RG 217,"Office of First Auditor; miscellaneous Treasury accounts and audit reports","accounts 1790-1894; audit reports/registers 1790-1894","noncustoms receipts expenses and reconciliations",E1-candidate,"not established; guide description only",P1-high,"very large series; untargeted review would be inefficient","use anomalies from central abstracts to request targeted account files",https://www.archives.gov/research/guide-fed-records/groups/217.html
AFB-NARA-0005,RG 53,"Treasury public-debt account journals ledgers accounts current appropriations and Register estimates","principally 1776-1858 with relevant series beginning 1790-1791","debt stock loan proceeds appropriations payments and Register estimates",E1-candidate,"not established; some related microfilm listed",P1-high,"stocks flows appropriations and estimates coexist","obtain NC 120 entries and isolate 1790-1803 account books and Register statements",https://www.archives.gov/research/guide-fed-records/groups/053.html
AFB-NARA-0006,RG 53,"Loan accounts for loans made before 1837","1791-1837 including loan of 1790","domestic and foreign borrowing structure subscriptions and balances",E1-candidate,"not established; guide description only",P1-high,"loan account labels may reflect later administrative arrangement","request loan-of-1790 volume list and determine transaction dating",https://www.archives.gov/research/guide-fed-records/groups/053.html
AFB-NARA-0007,RG 53,"Commissioners of the Sinking Fund report","1801","contemporaneous debt-redemption governance and activity",E1-candidate,"not established; guide description only",P1-supporting,"single report cannot establish annual cash performance","obtain item citation and compare with ASP and Treasury report",https://www.archives.gov/research/guide-fed-records/groups/053.html
AFB-NARA-0008,RG 56,"Secretary of Treasury letters sent to and received from customs collectors","sent 1789-1878; received 1789-1869","collector instructions returns remittances enforcement and observed disruptions",E1-candidate,"microfilm publications exist but exact series mapping unresolved",P1-high,"correspondence is selective and cannot alone quantify totals","use PI 187 and microfilm roll lists to identify 1789-1803 collector correspondence",https://www.archives.gov/research/guide-fed-records/groups/056.html
AFB-NARA-0009,RG 36,"Customhouse and collection-district impost books manifests entrances clearances drawbacks bonds and financial records","district-dependent; many begin 1789-1800","port commodity merchant voyage bonding re-export and enforcement mechanisms",E1-candidate,"NARA states RG 36 is not yet digitized broadly; some regional items may be digitized",P2-after-P1,"survival and port selection are highly uneven; major-port sampling can bias national inference","obtain NC 154 and construct survival matrix before selecting ports or commodities",https://www.archives.gov/research/guide-fed-records/groups/036.html
AFB-NARA-0010,RG 50,"Treasurer of the United States records","guide holdings chiefly begin 1808 or later","cash custody and payment functions",E1-limited,"not established",defer,"many pre-June-1829 records were lost in the 1833 Treasury fire; described surviving series do not cover P1 core","do not treat RG 50 as primary P1 route; revisit only when cross-reference identifies a surviving item",https://www.archives.gov/research/guide-fed-records/groups/050.html
AFB-NARA-0011,RG 26,"Revenue Cutter Service and lighthouse predecessor records","district and series dependent; some records begin 1789-1791","enforcement navigation aids cutter operations and port infrastructure",E1-candidate,"mixed; selected records digitized",P2-supporting,"operational records do not directly establish fiscal dominance","route only after P1 central fiscal series and for specified mechanism tests",https://www.archives.gov/research/guide-fed-records/groups/026.html
